position,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star
LB,SVC,0.6692307692307692,0.5042128603104213,0.6758314855875831,0.50443837487197,0.5048076923076923,0.23076923076923078
LB,XGBoost,0.5769230769230769,0.44706519217384577,0.607841620910989,0.46081118114551933,0.4471153846153846,0.23076923076923078
LB,CatBoost,0.6230769230769231,0.4867456288776086,0.6454596728708404,0.492444056960186,0.4903846153846154,0.2692307692307692
DB,Logistic,0.5707317073170731,0.5469158127385976,0.5980946500242579,0.5792357537640557,0.6045123177476119,0.6730769230769231
DB,RF,0.6097560975609756,0.5240306477826794,0.6235509975252991,0.525234357968171,0.5290975364504776,0.36538461538461536
DB,ExtraTrees,0.6926829268292682,0.48597014925373133,0.6465700764470331,0.5040611562350693,0.5021367521367521,0.11538461538461539
DB,GB,0.6926829268292682,0.5404078146685172,0.6707449869417025,0.553781512605042,0.5402212166918049,0.23076923076923078
DB,HistGB,0.6780487804878049,0.5375307629204266,0.663126513135517,0.5443181818181818,0.5367647058823529,0.25
DB,KNN,0.6536585365853659,0.443382156105396,0.6119370325218798,0.43924261339991677,0.463298139768728,0.07692307692307693
DB,NaiveBayes,0.24878048780487805,0.19921875,0.10106707317073171,0.125,0.49038461538461536,0.9807692307692307
DB,SVC,0.6292682926829268,0.5522988505747126,0.6437566582562377,0.5522756547874624,0.5612116641528406,0.4230769230769231
DB,XGBoost,0.6634146341463415,0.5341062547346925,0.6550335354807716,0.5368055555555555,0.533308195072901,0.2692307692307692
DB,CatBoost,0.7024390243902439,0.5473303167420814,0.6778801456792849,0.56553911205074,0.5467571644042233,0.23076923076923078
OL,Logistic,0.49635036496350365,0.4543722943722944,0.561526842986697,0.5518332605848975,0.6014957264957265,0.75
OL,RF,0.5474452554744526,0.4810606060606061,0.6124751161247511,0.5448635976129582,0.589957264957265,0.65
OL,ExtraTrees,0.7153284671532847,0.5887785730778111,0.7502962010425602,0.5872713414634146,0.6467948717948718,0.55
OL,GB,0.656934306569343,0.5357271612949743,0.7036856340323138,0.5508274231678487,0.5918803418803419,0.5
OL,HistGB,0.635036496350365,0.5203081232492996,0.6864074096792001,0.542528735632184,0.579059829059829,0.5
OL,KNN,0.6861313868613139,0.4656689342403628,0.7086786831520929,0.47302043422733075,0.4638888888888889,0.15
OL,NaiveBayes,0.6788321167883211,0.5305295950155763,0.7173522523137095,0.5381443298969072,0.5632478632478632,0.4
OL,SVC,0.145985401459854,0.12738853503184713,0.03719373285601376,0.072992700729927,0.5,1.0
OL,XGBoost,0.5985401459854015,0.5032632342277013,0.6572942415693166,0.5402412280701754,0.5784188034188034,0.55
OL,CatBoost,0.6131386861313869,0.521326389346694,0.6697562691486141,0.5552631578947369,0.6076923076923078,0.6
