Sk,TFL,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
11.5,24.0,58.0,74.0,243.0,4.63,25.0,39.0,128.0,7.44,4.49,21.0,0,2003
11.5,24.0,58.0,74.0,272.0,4.78,27.0,35.5,119.0,7.44,4.49,23.0,0,2003
11.5,24.0,58.0,75.0,281.0,4.95,25.0,35.0,114.0,7.5,4.37,22.0,0,2003
11.5,24.0,58.0,74.0,285.0,5.0,22.0,32.0,104.0,7.71,4.57,24.0,1,2003
11.5,24.0,58.0,73.0,307.0,5.2,25.0,27.0,100.0,7.44,4.79,23.0,0,2003
11.5,24.0,58.0,76.0,327.0,4.98,23.0,30.0,106.0,7.78,4.69,23.0,0,2003
11.5,24.0,58.0,76.0,272.0,4.9,30.0,32.0,112.0,7.44,4.49,24.0,0,2003
11.5,24.0,58.0,74.0,290.0,5.08,26.0,28.0,106.0,7.44,4.49,23.0,0,2003
11.5,24.0,58.0,73.0,303.0,5.04,29.0,32.0,104.0,7.64,4.29,22.0,1,2003
11.5,24.0,58.0,74.0,267.0,4.78,19.0,32.0,105.0,7.23,4.32,23.0,0,2003
11.5,24.0,58.0,75.0,324.0,5.1,25.0,32.0,112.0,7.44,4.49,24.0,1,2003
11.5,24.0,58.0,74.0,297.0,5.21,25.0,31.5,111.0,7.73,4.72,23.0,0,2003
11.5,24.0,58.0,75.0,271.0,4.91,29.0,34.5,114.0,7.45,4.4,22.0,1,2003
11.5,24.0,58.0,75.0,295.0,4.9,25.0,32.0,112.0,7.44,4.49,23.0,0,2003
11.5,24.0,58.0,74.0,288.0,5.24,26.0,32.0,111.0,7.44,4.49,22.0,0,2003
11.5,24.0,58.0,74.0,264.0,4.79,25.0,32.0,112.0,7.44,4.49,23.0,2,2003
11.5,24.0,58.0,74.0,295.0,4.78,29.0,32.0,112.0,7.44,4.49,21.0,2,2004
11.5,24.0,58.0,75.0,275.0,4.6,25.0,32.0,112.0,7.44,4.49,23.0,2,2004
11.5,24.0,58.0,75.0,281.0,4.77,25.0,32.0,112.0,7.44,4.49,21.0,2,2004
11.5,24.0,58.0,73.0,323.0,5.08,36.0,32.0,112.0,7.44,4.49,22.0,2,2004
11.5,24.0,58.0,76.0,321.0,5.05,29.0,32.5,105.0,7.44,4.49,23.0,1,2004
11.5,24.0,58.0,75.0,260.0,4.62,28.0,34.0,121.0,7.03,4.14,24.0,1,2004
11.5,24.0,58.0,77.0,315.0,4.96,41.0,33.5,110.0,7.61,4.41,22.0,2,2004
11.5,24.0,58.0,76.0,344.0,5.16,31.0,24.5,93.0,7.93,4.84,25.0,0,2004
11.5,24.0,58.0,75.0,263.0,4.69,35.0,35.5,126.0,7.01,4.07,23.0,1,2004
11.5,24.0,58.0,75.0,304.0,4.69,31.0,34.0,114.0,7.56,4.6,22.0,1,2004
11.5,24.0,58.0,75.0,313.0,5.12,25.0,28.0,105.0,7.59,4.68,23.0,2,2004
11.5,24.0,58.0,78.0,274.0,4.71,21.0,37.0,114.0,7.3,4.44,22.0,2,2004
11.5,24.0,58.0,79.0,305.0,5.12,23.0,29.0,106.0,7.44,4.49,22.0,0,2004
11.5,24.0,58.0,75.0,297.0,5.0,26.0,31.0,105.0,7.44,4.49,23.0,2,2004
11.5,24.0,58.0,75.0,314.0,5.08,27.0,29.5,102.0,7.44,4.49,20.0,1,2004
11.5,24.0,58.0,75.0,307.0,5.01,25.0,32.0,112.0,7.44,4.49,23.0,1,2004
11.5,24.0,58.0,75.0,289.0,4.81,25.0,36.5,118.0,7.44,4.32,22.0,2,2004
11.5,24.0,58.0,74.0,254.0,4.65,16.0,34.0,120.0,7.48,4.46,23.0,1,2004
11.5,24.0,58.0,75.0,255.0,4.78,25.0,33.0,114.0,6.95,4.23,23.0,2,2004
11.5,24.0,58.0,77.0,271.0,4.8,25.0,32.5,109.0,6.94,4.38,23.0,0,2004
11.5,24.0,58.0,74.0,317.0,4.97,42.0,30.5,99.0,7.79,4.66,23.0,2,2004
11.5,24.0,58.0,77.0,308.0,5.2,20.0,27.0,101.0,7.55,4.42,22.0,0,2004
11.5,24.0,58.0,75.0,271.0,4.84,24.0,33.5,112.0,7.44,4.49,21.0,2,2004
11.5,24.0,58.0,78.0,265.0,4.72,13.0,33.0,120.0,7.11,4.34,22.0,2,2004
11.5,24.0,58.0,77.0,277.0,5.07,24.0,32.0,112.0,7.44,4.49,23.0,0,2004
11.5,24.0,58.0,75.0,274.0,5.03,24.0,33.0,108.0,7.44,4.75,22.0,1,2004
11.5,24.0,58.0,75.0,309.0,5.15,31.0,32.0,112.0,7.44,4.49,23.0,0,2004
11.5,24.0,58.0,73.0,303.0,5.09,25.0,32.0,112.0,7.44,4.49,25.0,1,2004
11.5,24.0,58.0,74.0,245.0,4.7,21.0,34.5,129.0,7.26,4.04,22.0,0,2004
11.5,24.0,58.0,76.0,313.0,5.18,25.0,28.0,106.0,7.97,4.55,24.0,1,2004
11.5,24.0,58.0,74.0,290.0,5.21,28.0,26.5,100.0,7.39,4.1,24.0,1,2004
11.5,24.0,58.0,75.0,303.0,5.09,33.0,30.0,109.0,7.44,4.38,23.0,1,2004
11.5,24.0,58.0,77.0,294.0,4.95,23.0,32.0,112.0,7.44,4.49,23.0,0,2004
11.5,24.0,58.0,77.0,260.0,4.8,23.0,35.5,110.0,7.06,4.08,23.0,0,2004
11.5,24.0,58.0,78.0,255.0,4.62,27.0,33.5,112.0,7.44,4.49,22.0,2,2004
11.5,24.0,58.0,76.0,272.0,4.64,25.0,32.0,112.0,7.44,4.49,21.0,2,2005
11.5,24.0,58.0,76.0,305.0,4.91,25.0,32.0,112.0,7.44,4.49,23.0,2,2005
11.5,24.0,58.0,74.0,265.0,4.75,25.0,37.0,120.0,6.86,3.9,23.0,0,2005
11.5,24.0,58.0,76.0,266.0,4.81,25.0,37.5,122.0,7.56,4.37,22.0,1,2005
11.5,24.0,58.0,76.0,307.0,5.05,25.0,32.0,112.0,7.44,4.49,22.0,2,2005
11.5,24.0,58.0,75.0,303.0,4.79,32.0,34.5,112.0,7.44,4.49,22.0,2,2005
11.5,24.0,58.0,72.0,292.0,4.93,26.0,32.0,112.0,7.44,4.49,22.0,2,2005
11.5,24.0,58.0,76.0,293.0,5.05,34.0,32.0,112.0,7.44,4.49,22.0,1,2005
11.5,24.0,58.0,76.0,278.0,4.81,26.0,32.0,112.0,7.65,4.36,22.0,1,2005
11.5,24.0,58.0,77.0,254.0,4.75,25.0,32.0,112.0,7.44,4.49,23.0,0,2005
11.5,24.0,58.0,74.0,286.0,4.87,21.0,29.5,109.0,7.7,4.57,23.0,2,2005
11.5,24.0,58.0,77.0,268.0,4.71,25.0,32.0,112.0,7.44,4.49,22.0,2,2005
11.5,24.0,58.0,75.0,325.0,5.02,32.0,32.5,107.0,7.83,4.44,26.0,2,2005
11.5,24.0,58.0,75.0,259.0,4.59,26.0,35.5,110.0,7.27,4.38,25.0,2,2005
11.5,24.0,58.0,74.0,273.0,4.8,22.0,37.0,118.0,7.66,4.44,22.0,2,2005
11.5,24.0,58.0,79.0,279.0,4.98,25.0,32.0,112.0,7.44,4.49,22.0,2,2005
11.5,24.0,58.0,74.0,313.0,5.24,25.0,27.0,102.0,8.01,4.68,23.0,1,2005
11.5,24.0,58.0,75.0,262.0,4.58,16.0,34.0,120.0,7.11,4.07,23.0,0,2005
11.5,24.0,58.0,75.0,321.0,5.23,21.0,27.0,100.0,8.0,4.69,23.0,0,2005
11.5,24.0,58.0,75.0,337.0,5.06,23.0,31.5,106.0,7.8,4.68,23.0,0,2005
11.5,24.0,58.0,77.0,276.0,5.05,19.0,34.5,115.0,7.38,4.32,22.0,1,2005
11.5,24.0,58.0,76.0,270.0,5.0,23.0,34.0,113.0,7.35,4.24,23.0,0,2005
11.5,24.0,58.0,76.0,262.0,4.84,22.0,29.5,108.0,7.62,4.5,24.0,0,2005
11.5,24.0,58.0,74.0,284.0,4.74,33.0,34.0,110.0,7.38,4.35,23.0,0,2005
11.5,24.0,58.0,74.0,314.0,5.08,27.0,27.5,100.0,8.21,4.64,22.0,0,2005
11.5,24.0,58.0,76.0,257.0,4.74,27.0,38.5,121.0,7.22,4.07,23.0,0,2005
11.5,24.0,58.0,74.0,256.0,4.83,18.0,32.0,112.0,7.44,4.49,24.0,0,2005
11.5,24.0,58.0,75.0,280.0,5.02,18.0,29.5,105.0,7.89,4.53,20.0,0,2005
11.5,24.0,58.0,74.0,301.0,4.87,25.0,34.0,116.0,7.54,4.31,22.0,0,2005
14.5,24.0,32.0,79.0,295.0,4.7,35.0,40.5,120.0,7.19,4.36,21.0,2,2006
3.0,9.0,32.0,76.0,338.0,5.13,37.0,31.5,110.0,7.95,4.65,22.0,2,2006
11.5,24.0,58.0,76.0,248.0,4.61,24.0,38.5,129.0,6.97,4.48,22.0,2,2006
9.0,25.0,39.0,75.0,306.0,5.01,44.0,32.5,113.0,7.44,4.49,22.0,2,2006
11.0,17.0,27.0,75.0,275.0,4.87,25.0,32.0,112.0,7.44,4.49,22.0,2,2006
0.5,9.0,10.0,73.0,302.0,5.15,25.0,30.5,110.0,7.79,4.48,23.0,1,2006
9.5,16.5,34.0,78.0,266.0,4.7,17.0,32.0,120.0,7.27,4.13,23.0,2,2006
10.0,14.5,27.0,74.0,252.0,4.83,27.0,33.0,109.0,7.31,4.48,21.0,2,2006
4.5,10.5,17.0,74.0,302.0,5.08,25.0,32.0,112.0,7.44,4.49,22.0,0,2006
11.5,24.0,58.0,74.0,263.0,4.7,28.0,38.5,123.0,7.05,4.08,22.0,2,2006
4.0,13.5,17.0,75.0,306.0,5.01,31.0,34.0,110.0,7.62,4.35,25.0,1,2006
6.5,13.0,37.0,75.0,267.0,4.88,25.0,29.5,110.0,7.44,4.49,22.0,1,2006
11.5,24.0,58.0,78.0,284.0,4.82,28.0,35.5,113.0,7.67,4.49,24.0,2,2006
2.0,6.5,25.0,75.0,339.0,5.27,36.0,25.0,96.0,8.28,4.8,22.0,1,2006
6.5,12.0,32.0,76.0,274.0,4.86,22.0,32.0,112.0,7.37,4.41,23.0,1,2006
1.0,2.5,33.0,75.0,307.0,5.27,25.0,28.5,103.0,7.69,4.49,21.0,2,2006
2.0,6.5,23.0,76.0,304.0,4.95,35.0,34.0,105.0,7.43,4.35,22.0,2,2006
20.0,22.0,36.0,71.0,257.0,4.75,30.0,32.0,112.0,7.44,4.49,22.0,2,2006
5.5,11.0,22.0,77.0,273.0,4.81,30.0,39.0,114.0,7.71,4.57,21.0,2,2006
8.0,17.0,35.0,75.0,260.0,4.91,23.0,34.5,116.0,6.96,4.18,22.0,0,2006
8.5,17.0,33.0,73.0,253.0,4.8,24.0,32.0,115.0,7.37,4.26,22.0,2,2006
7.0,9.0,24.0,76.0,277.0,5.03,25.0,34.5,110.0,7.11,4.23,22.0,0,2006
6.5,14.5,23.0,76.0,254.0,4.62,20.0,42.0,127.0,6.95,4.22,23.0,2,2006
2.0,7.0,18.0,72.0,311.0,5.37,25.0,32.0,112.0,7.44,4.49,23.0,0,2006
4.5,7.5,15.0,73.0,309.0,4.97,24.0,33.5,111.0,7.4,4.4,22.0,0,2006
4.5,10.5,36.0,74.0,304.0,5.27,33.0,32.0,105.0,7.87,4.54,23.0,0,2006
5.0,11.5,19.0,75.0,317.0,5.41,25.0,32.0,104.0,7.44,4.49,23.0,2,2006
1.0,2.0,13.0,76.0,300.0,4.88,31.0,33.0,111.0,7.6,4.45,23.0,2,2006
9.0,11.0,33.0,75.0,276.0,5.08,25.0,32.0,112.0,7.44,4.49,23.0,1,2006
4.5,6.5,40.0,77.0,262.0,4.63,27.0,33.0,116.0,7.75,4.51,24.0,0,2006
3.0,7.5,11.0,77.0,300.0,5.08,31.0,32.0,110.0,7.84,4.51,22.0,1,2006
8.0,13.5,21.0,74.0,262.0,4.7,19.0,39.0,114.0,7.87,4.5,21.0,0,2006
4.0,14.5,29.0,76.0,258.0,4.7,19.0,33.5,115.0,7.48,4.52,23.0,0,2006
21.0,27.5,59.0,77.0,258.0,4.64,25.0,35.0,119.0,7.17,4.36,24.0,2,2007
17.0,31.0,58.0,77.0,288.0,4.75,25.0,32.0,112.0,7.44,4.49,21.0,2,2007
8.5,16.5,50.0,74.0,302.0,5.07,29.0,30.0,111.0,7.46,4.49,20.0,2,2007
16.5,28.5,50.0,78.0,296.0,4.9,33.0,33.5,110.0,7.06,4.18,23.0,1,2007
2.5,9.0,24.0,76.0,300.0,5.04,24.0,30.5,108.0,7.63,4.79,23.0,0,2007
15.0,22.0,61.0,78.0,250.0,4.7,16.0,30.5,120.0,7.44,4.49,23.0,0,2007
12.5,32.0,84.0,75.0,261.0,4.7,30.0,32.5,112.0,7.14,4.43,23.0,2,2007
4.5,13.0,33.0,78.0,324.0,5.07,33.0,27.5,107.0,7.44,4.49,22.0,1,2007
18.0,30.5,57.0,73.0,266.0,4.74,25.0,32.0,112.0,7.44,4.49,22.0,2,2007
3.5,12.0,54.0,74.0,277.0,4.81,27.0,31.0,108.0,7.1,4.12,22.0,1,2007
11.5,21.0,47.0,76.0,272.0,4.69,32.0,30.5,111.0,7.28,4.32,22.0,0,2007
19.0,30.5,59.0,76.0,267.0,4.8,25.0,32.0,112.0,7.44,4.49,21.0,1,2007
9.0,17.5,45.0,77.0,280.0,4.85,25.0,32.0,112.0,7.44,4.49,22.0,0,2007
16.5,26.0,39.0,75.0,304.0,5.17,25.0,25.5,103.0,7.81,4.83,24.0,1,2007
11.5,24.0,58.0,74.0,306.0,5.18,42.0,28.5,112.0,7.44,4.49,22.0,1,2007
13.5,27.5,51.0,74.0,270.0,4.84,33.0,34.0,118.0,7.5,4.49,21.0,2,2007
11.0,19.5,39.0,73.0,309.0,5.15,24.0,24.0,106.0,7.94,4.65,22.0,2,2007
4.0,7.5,26.0,75.0,276.0,4.88,25.0,32.0,112.0,7.44,4.49,22.0,2,2007
9.0,15.0,35.0,74.0,299.0,4.93,25.0,34.0,112.0,7.44,4.49,23.0,0,2007
11.0,21.0,41.0,75.0,259.0,4.67,27.0,40.5,121.0,6.89,4.26,24.0,2,2007
3.0,5.0,13.0,76.0,344.0,5.1,25.0,29.5,103.0,7.66,4.69,23.0,2,2007
7.0,17.0,36.0,76.0,271.0,4.69,22.0,33.0,111.0,7.44,4.49,22.0,0,2007
8.0,16.0,37.0,75.0,314.0,5.23,27.0,32.0,112.0,7.44,4.49,21.0,1,2007
4.5,7.0,12.0,76.0,286.0,4.98,27.0,28.0,108.0,7.79,4.46,23.0,0,2007
6.0,10.5,20.0,78.0,279.0,5.0,20.0,33.0,112.0,7.5,4.54,23.0,1,2007
2.0,7.0,16.0,75.0,310.0,5.15,28.0,29.0,108.0,7.47,4.49,22.0,0,2007
7.0,10.0,42.0,75.0,310.0,5.12,25.0,26.5,102.0,7.49,4.69,23.0,1,2007
10.0,23.5,50.0,74.0,288.0,4.96,24.0,32.0,112.0,7.44,4.49,23.0,0,2007
11.5,24.0,58.0,76.0,249.0,4.65,19.0,32.0,112.0,7.44,4.49,24.0,1,2007
20.0,36.5,90.0,75.0,272.0,4.75,25.0,34.0,124.0,7.02,4.21,23.0,2,2008
13.0,25.0,71.0,73.0,297.0,5.12,25.0,32.0,112.0,7.44,4.49,23.0,2,2008
22.5,30.5,47.0,75.0,266.0,4.65,37.0,35.5,125.0,7.12,4.4,22.0,1,2008
17.5,28.0,75.0,72.0,309.0,5.26,34.0,26.5,105.0,7.78,4.73,23.0,2,2008
20.5,31.5,60.0,77.0,271.0,4.84,31.0,28.5,113.0,7.27,4.36,21.0,1,2008
24.5,40.5,89.0,76.0,271.0,4.82,31.0,31.0,108.0,7.08,4.4,23.0,1,2008
7.0,17.0,53.0,76.0,308.0,5.29,33.0,29.0,103.0,7.65,4.82,21.0,0,2008
11.5,26.0,64.0,76.0,276.0,4.73,17.0,32.0,112.0,7.44,4.49,23.0,1,2008
9.0,20.5,82.0,73.0,304.0,5.09,35.0,30.5,103.0,7.37,4.49,23.0,1,2008
