ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
79.0,323.0,4.98,24.0,30.0,105.0,7.42,4.38,24.0,2,2004
76.0,366.0,5.49,27.0,25.0,98.0,8.25,4.85,21.0,2,2004
76.0,335.0,5.33,30.0,28.5,104.0,7.75,4.7,23.0,2,2004
75.0,314.0,5.1,29.0,30.5,104.0,7.75,4.66,22.0,2,2004
75.0,303.0,5.16,31.0,28.5,104.0,7.75,4.7,24.0,1,2004
75.0,298.0,5.07,19.0,32.0,111.0,7.72,4.41,22.0,1,2004
78.0,307.0,5.3,30.0,28.5,104.0,7.75,4.7,23.0,0,2004
75.0,295.0,5.2,27.0,34.0,108.0,7.72,4.55,23.0,2,2004
79.0,350.0,5.56,21.0,27.5,98.0,7.88,4.65,22.0,2,2004
76.0,312.0,5.46,23.0,24.5,95.0,7.87,4.68,22.0,0,2004
76.0,308.0,5.16,27.0,29.0,100.0,7.85,4.56,23.0,2,2004
76.0,312.0,5.14,25.0,31.5,105.0,8.31,4.58,23.0,2,2004
75.0,304.0,5.29,25.0,25.5,96.0,7.64,4.44,22.0,1,2004
79.0,322.0,5.46,26.0,28.5,102.0,8.3,4.84,20.0,0,2004
78.0,342.0,5.07,34.0,30.5,106.0,8.09,4.78,23.0,1,2004
76.0,301.0,5.23,22.0,28.5,110.0,7.85,4.61,23.0,0,2004
76.0,296.0,4.97,27.0,31.0,114.0,7.81,4.58,23.0,1,2004
77.0,302.0,5.22,26.0,28.5,104.0,7.75,4.7,23.0,1,2004
77.0,281.0,5.06,24.0,34.5,110.0,7.96,4.68,23.0,2,2004
77.0,313.0,5.2,27.0,29.0,105.0,8.03,4.98,23.0,0,2004
79.0,314.0,5.36,24.0,28.5,108.0,7.53,4.49,23.0,0,2004
75.0,290.0,5.26,18.0,27.0,97.0,7.71,4.47,22.0,1,2004
79.0,320.0,5.11,25.0,30.5,105.0,7.96,4.92,22.0,0,2004
74.0,323.0,5.5,27.0,24.5,91.0,7.94,4.66,22.0,2,2004
79.0,313.0,5.44,22.0,27.0,101.0,7.56,4.4,25.0,0,2004
78.0,308.0,5.09,21.0,29.5,105.0,7.75,4.6,23.0,0,2004
78.0,304.0,5.26,31.0,27.5,98.0,7.75,4.7,24.0,0,2004
75.0,302.0,5.29,25.0,29.0,92.0,8.25,4.71,22.0,2,2004
77.0,329.0,5.52,25.0,26.0,102.0,7.9,4.74,23.0,0,2004
78.0,319.0,5.41,31.0,28.0,105.0,7.97,4.66,23.0,0,2004
74.0,300.0,5.3,31.0,31.0,109.0,7.56,4.35,23.0,2,2004
78.0,316.0,5.06,25.0,31.5,109.0,7.93,4.67,24.0,2,2005
79.0,320.0,4.87,25.0,35.5,112.0,7.83,4.56,22.0,2,2005
75.0,309.0,5.21,26.0,32.0,105.0,8.06,4.59,23.0,2,2005
76.0,307.0,5.06,21.0,31.5,95.0,7.52,4.44,23.0,2,2005
76.0,319.0,5.06,29.0,29.5,105.0,7.5,4.46,23.0,2,2005
79.0,320.0,5.3,19.0,29.0,97.0,7.72,4.5,22.0,2,2005
78.0,321.0,5.45,21.0,27.5,104.0,7.71,4.71,21.0,1,2005
78.0,305.0,4.92,26.0,35.0,106.0,7.57,4.54,23.0,2,2005
80.0,330.0,5.4,25.0,28.0,96.0,7.89,4.78,23.0,1,2005
77.0,304.0,4.92,35.0,35.5,117.0,7.37,4.16,23.0,0,2005
75.0,305.0,4.84,29.0,28.5,104.0,7.75,4.7,22.0,1,2005
76.0,324.0,5.61,25.0,29.0,96.0,8.11,4.92,22.0,1,2005
77.0,316.0,5.34,21.0,28.5,93.0,7.83,4.83,23.0,2,2005
76.0,319.0,5.28,25.0,31.5,104.0,7.75,4.7,26.0,2,2005
78.0,327.0,5.18,27.0,28.5,104.0,7.75,4.7,23.0,1,2005
76.0,320.0,5.35,29.0,28.0,111.0,7.9,4.59,23.0,1,2005
77.0,329.0,4.93,25.0,28.5,104.0,7.75,4.7,23.0,1,2005
78.0,314.0,5.25,24.0,28.5,104.0,7.75,4.7,23.0,2,2005
76.0,302.0,5.09,30.0,32.0,105.0,7.87,4.56,24.0,1,2005
77.0,311.0,5.22,21.0,32.0,96.0,7.57,4.45,23.0,1,2005
75.0,313.0,5.4,23.0,30.5,105.0,7.72,4.51,22.0,1,2005
75.0,304.0,5.12,25.0,29.5,100.0,7.62,4.51,23.0,1,2005
74.0,343.0,5.42,27.0,24.5,89.0,8.17,4.75,23.0,0,2005
75.0,310.0,5.31,21.0,29.5,102.0,7.93,4.56,21.0,0,2005
78.0,306.0,5.3,14.0,32.0,101.0,7.74,4.68,23.0,0,2005
75.0,309.0,5.31,25.0,32.5,109.0,7.49,4.45,23.0,0,2005
77.0,310.0,5.12,18.0,32.5,105.0,7.62,4.6,24.0,0,2005
76.0,310.0,5.3,22.0,29.5,101.0,8.19,4.72,22.0,0,2005
77.0,301.0,5.21,26.0,28.5,103.0,7.62,4.52,23.0,2,2005
76.0,312.0,5.08,43.0,35.0,115.0,7.46,4.37,24.0,0,2005
77.0,318.0,5.39,26.0,28.0,108.0,7.68,4.43,24.0,0,2005
77.0,300.0,5.11,25.0,28.5,104.0,7.75,4.7,23.0,1,2005
75.0,344.0,5.34,26.0,29.0,98.0,7.75,4.54,22.0,2,2005
78.0,347.0,5.48,25.0,28.5,104.0,7.75,4.7,23.0,1,2005
76.0,321.0,5.29,28.0,28.5,104.0,7.75,4.7,23.0,1,2005
78.0,312.0,5.08,25.0,28.5,104.0,7.75,4.7,22.0,2,2006
75.0,311.0,5.09,24.0,32.0,111.0,7.75,4.97,22.0,2,2006
76.0,300.0,5.05,24.0,27.5,104.0,7.47,4.36,22.0,2,2006
78.0,319.0,5.16,25.0,35.0,110.0,7.31,4.53,21.0,1,2006
76.0,334.0,5.35,26.0,28.0,97.0,8.04,4.76,23.0,2,2006
76.0,299.0,5.05,21.0,32.5,110.0,7.43,4.58,24.0,2,2006
80.0,336.0,5.07,25.0,31.0,98.0,8.19,5.0,22.0,2,2006
79.0,328.0,5.47,28.0,26.5,97.0,7.93,4.66,23.0,1,2006
79.0,334.0,5.16,28.0,30.5,112.0,8.23,4.83,24.0,2,2006
75.0,303.0,4.83,27.0,31.5,106.0,7.31,4.5,23.0,1,2006
80.0,316.0,5.25,20.0,27.5,96.0,7.82,4.68,23.0,2,2006
77.0,352.0,5.25,30.0,28.5,104.0,7.75,4.7,24.0,0,2006
79.0,310.0,4.94,25.0,29.0,108.0,7.47,4.44,22.0,2,2006
78.0,312.0,5.07,28.0,29.5,110.0,7.72,4.62,23.0,0,2006
75.0,313.0,5.4,25.0,28.5,102.0,7.82,4.55,23.0,2,2006
76.0,355.0,5.48,27.0,24.5,95.0,8.56,5.08,22.0,1,2006
76.0,316.0,5.25,20.0,27.0,95.0,7.97,4.8,23.0,2,2006
75.0,324.0,5.15,20.0,28.5,101.0,8.13,4.98,24.0,0,2006
75.0,307.0,5.25,27.0,28.5,104.0,7.75,4.7,22.0,1,2006
77.0,304.0,4.96,26.0,29.0,102.0,7.38,4.59,23.0,0,2006
79.0,344.0,5.39,21.0,25.0,92.0,7.75,4.7,23.0,0,2006
77.0,309.0,5.44,21.0,28.5,102.0,8.45,5.11,22.0,1,2006
78.0,315.0,5.32,25.0,24.5,101.0,7.73,4.85,23.0,0,2006
79.0,310.0,5.29,25.0,28.5,104.0,7.75,4.7,22.0,1,2006
76.0,301.0,5.1,24.0,30.0,109.0,7.59,4.6,23.0,2,2006
78.0,303.0,5.12,23.0,26.5,100.0,7.45,4.7,23.0,0,2006
77.0,316.0,5.41,23.0,31.5,98.0,8.36,5.07,23.0,0,2006
78.0,309.0,5.28,24.0,26.0,102.0,7.8,4.63,22.0,2,2006
80.0,330.0,5.38,19.0,21.0,94.0,8.01,4.83,22.0,2,2006
79.0,325.0,5.39,28.0,28.5,102.0,7.75,4.7,22.0,0,2006
75.0,312.0,5.12,35.0,29.5,104.0,7.4,4.43,23.0,0,2006
76.0,314.0,5.38,19.0,26.5,100.0,7.63,4.53,22.0,0,2006
79.0,311.0,4.92,28.0,33.0,110.0,7.95,4.88,22.0,2,2007
77.0,323.0,5.4,31.0,25.5,97.0,7.87,4.89,23.0,2,2007
78.0,306.0,4.79,27.0,28.5,104.0,7.75,4.7,23.0,2,2007
75.0,311.0,5.18,29.0,26.5,103.0,7.99,4.72,23.0,2,2007
75.0,319.0,5.09,21.0,28.5,104.0,7.75,4.7,22.0,1,2007
75.0,320.0,5.1,40.0,28.5,101.0,7.75,4.72,23.0,2,2007
77.0,301.0,5.06,32.0,32.5,117.0,7.75,4.7,23.0,1,2007
75.0,299.0,4.96,34.0,26.0,104.0,7.5,4.34,22.0,2,2007
75.0,300.0,5.24,25.0,33.0,101.0,7.47,4.29,22.0,2,2007
76.0,305.0,5.09,22.0,25.5,100.0,7.78,4.52,22.0,2,2007
76.0,307.0,5.15,25.0,28.5,104.0,7.75,4.7,22.0,2,2007
78.0,302.0,5.11,20.0,28.5,109.0,7.6,4.87,22.0,1,2007
74.0,302.0,5.35,29.0,24.5,96.0,8.0,4.8,23.0,1,2007
75.0,326.0,5.24,40.0,28.5,104.0,7.75,4.7,24.0,1,2007
76.0,300.0,4.84,28.0,32.0,105.0,7.4,4.63,23.0,0,2007
78.0,324.0,5.19,22.0,30.0,111.0,7.38,4.53,23.0,2,2007
75.0,317.0,5.4,27.0,28.5,92.0,8.34,4.92,22.0,0,2007
74.0,313.0,5.36,24.0,25.5,93.0,8.24,4.81,24.0,1,2007
75.0,314.0,5.28,34.0,28.5,104.0,7.75,4.7,23.0,0,2007
75.0,325.0,5.37,24.0,28.5,104.0,7.75,4.7,23.0,2,2007
74.0,303.0,5.18,32.0,28.5,104.0,7.75,4.7,23.0,1,2007
77.0,298.0,5.08,20.0,32.0,106.0,7.44,4.47,23.0,0,2007
75.0,301.0,5.13,23.0,29.0,102.0,7.47,4.74,24.0,0,2007
79.0,313.0,5.22,37.0,27.5,102.0,7.44,4.73,23.0,2,2008
78.0,309.0,5.18,24.0,28.5,104.0,7.75,4.7,22.0,2,2008
78.0,315.0,5.13,21.0,25.0,103.0,7.95,4.85,23.0,1,2008
78.0,309.0,5.17,23.0,26.0,111.0,7.97,4.78,23.0,2,2008
78.0,314.0,5.14,24.0,23.0,102.0,7.6,4.82,24.0,2,2008
78.0,322.0,5.55,27.0,22.5,102.0,7.75,4.7,22.0,1,2008
77.0,309.0,5.5,28.0,28.5,104.0,7.75,4.7,23.0,2,2008
76.0,315.0,5.07,24.0,27.5,105.0,7.58,4.52,23.0,2,2008
77.0,315.0,5.16,28.0,25.5,108.0,8.01,5.14,22.0,1,2008
75.0,301.0,4.99,29.0,25.0,110.0,7.49,4.47,23.0,2,2008
77.0,305.0,5.29,30.0,26.0,108.0,8.03,4.82,23.0,0,2008
75.0,303.0,4.99,35.0,26.5,107.0,7.59,4.54,22.0,2,2008
77.0,320.0,5.42,26.0,28.5,106.0,7.84,4.56,23.0,0,2008
76.0,308.0,5.11,23.0,24.5,107.0,7.9,4.8,24.0,0,2008
76.0,296.0,5.3,26.0,30.5,113.0,7.45,4.55,23.0,0,2008
74.0,298.0,5.25,25.0,23.0,104.0,7.6,4.56,23.0,0,2008
76.0,311.0,5.38,30.0,23.0,101.0,7.58,4.72,23.0,1,2008
