rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,106.0,2173.0,20.5,23.0,90.5,73.0,211.0,4.48,18.0,35.0,120.0,7.0,4.245,23.0,17.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,68.0,760.0,11.2,5.0,18.1,74.0,266.0,4.76,22.0,34.0,112.0,7.38,4.43,23.0,38.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,33.0,713.0,21.6,6.0,64.8,73.0,192.0,4.57,18.0,33.0,108.0,7.51,4.14,23.0,84.0,2001
846.0,4098.0,4.8,49.0,78.0,750.0,9.6,1.0,122.0,1807.0,14.4,14.5,46.2,74.0,229.0,4.58,20.0,32.5,115.0,7.48,4.44,23.0,22.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,58.0,885.0,15.3,6.0,88.5,73.0,205.0,4.48,18.0,36.5,120.0,7.24,4.07,21.0,15.0,2001
807.0,4147.0,5.1,36.0,76.0,737.0,9.7,1.0,122.0,1807.0,14.4,14.5,46.2,70.0,234.0,4.57,24.0,35.0,120.0,7.0,4.245,22.0,11.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,111.0,1817.0,16.4,15.0,49.1,72.0,210.0,4.33,18.0,45.0,134.0,7.0,4.0,23.0,41.0,2001
556.0,3078.0,5.5,26.0,20.0,99.0,5.0,0.0,122.0,1807.0,14.4,14.5,46.2,69.0,223.0,4.61,23.0,35.0,120.0,7.0,4.245,22.0,27.0,2001
541.0,2950.0,5.5,31.0,38.0,278.0,7.3,3.0,122.0,1807.0,14.4,14.5,46.2,70.0,210.0,4.55,18.0,35.0,120.0,7.0,4.245,25.0,9.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,56.0,580.0,10.4,5.0,18.7,76.0,255.0,4.73,14.0,36.0,117.0,7.37,4.18,23.0,0.0,2001
