qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
499.0,839.0,59.5,5723.0,46.0,15.0,6.8,7.11,146.7,76.0,231.0,4.94,22.0,31.0,113.0,7.17,4.53,23.0,0,2016
851.0,1261.0,67.5,10339.0,88.0,19.0,8.2,8.92,202.7,73.0,220.0,4.89,22.0,29.5,104.0,7.32,4.0,23.0,1,2016
673.0,1170.0,57.5,9194.0,71.0,22.0,7.9,8.23,213.8,76.0,217.0,4.79,22.0,33.0,113.0,7.21,4.28,23.0,0,2016
734.0,1169.0,62.8,9376.0,70.0,23.0,8.0,8.33,191.3,74.0,226.0,4.79,22.0,32.5,116.0,7.11,4.32,23.0,2,2016
160.0,257.0,62.3,2209.0,13.0,7.0,8.6,8.38,96.0,77.0,253.0,4.81,22.0,36.0,112.0,7.09,4.28,23.0,0,2016
386.0,572.0,67.5,4762.0,41.0,10.0,8.3,8.97,140.1,74.0,222.0,4.67,22.0,27.5,116.0,6.87,4.25,23.0,2,2017
857.0,1349.0,63.5,11252.0,93.0,29.0,8.3,8.75,351.6,74.0,225.0,4.8,22.0,30.0,114.0,6.88,4.08,21.0,2,2017
814.0,1207.0,67.4,10163.0,90.0,32.0,8.4,8.72,267.4,74.0,221.0,4.66,22.0,32.5,119.0,6.95,4.31,21.0,2,2017
423.0,696.0,60.8,5809.0,47.0,19.0,8.3,8.47,232.4,76.0,233.0,4.83,22.0,30.5,107.0,7.4,4.53,21.0,1,2017
841.0,1367.0,61.5,9852.0,83.0,34.0,7.2,7.3,281.5,77.0,229.0,4.79,22.0,33.0,118.0,6.92,4.21,22.0,0,2017
454.0,782.0,58.1,5562.0,40.0,19.0,7.1,7.04,135.7,74.0,219.0,4.795,22.0,31.0,113.0,7.09,4.28,23.0,1,2017
614.0,999.0,61.5,7138.0,53.0,29.0,7.1,6.9,192.9,75.0,216.0,4.64,22.0,33.0,122.0,6.75,4.31,22.0,0,2017
398.0,663.0,60.0,5236.0,47.0,17.0,7.9,8.16,145.4,74.0,226.0,4.82,22.0,31.0,110.0,7.14,4.31,23.0,0,2017
1026.0,1497.0,68.5,14607.0,131.0,30.0,9.8,10.61,304.3,73.0,215.0,4.84,22.0,29.0,111.0,7.0,4.28,23.0,2,2018
549.0,846.0,64.9,7229.0,57.0,22.0,8.5,8.72,267.7,75.0,221.0,4.85,22.0,26.5,105.0,6.96,4.4,21.0,1,2018
365.0,649.0,56.2,5066.0,44.0,21.0,7.8,7.71,187.6,77.0,237.0,4.75,22.0,33.5,119.0,6.9,4.4,22.0,2,2018
712.0,1170.0,60.9,9341.0,59.0,26.0,8.0,7.99,311.4,76.0,226.0,4.92,22.0,31.0,111.0,7.09,4.28,21.0,0,2018
619.0,1086.0,57.0,9043.0,69.0,27.0,8.3,8.48,238.0,74.0,216.0,4.795,22.0,32.25,112.0,7.09,4.28,21.0,2,2018
915.0,1447.0,63.2,13618.0,92.0,26.0,9.4,9.87,324.2,77.0,235.0,4.9,22.0,26.0,112.0,7.09,4.28,23.0,1,2018
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,75.0,222.0,4.81,22.0,31.0,113.0,6.95,4.07,23.0,0,2018
350.0,519.0,67.4,5406.0,50.0,14.0,10.4,11.13,186.4,70.0,207.0,4.795,22.0,32.25,112.0,7.09,4.28,22.0,2,2019
764.0,1275.0,59.9,8201.0,52.0,29.0,6.4,6.22,227.8,77.0,221.0,4.81,22.0,33.5,120.0,7.0,4.41,22.0,2,2019
413.0,590.0,70.0,5396.0,54.0,9.0,9.1,10.29,245.3,75.0,231.0,5.04,22.0,28.5,112.0,7.09,4.28,22.0,1,2019
883.0,1553.0,56.9,12193.0,99.0,39.0,7.9,8.0,243.9,76.0,228.0,4.69,22.0,31.0,112.0,7.03,4.12,22.0,1,2019
622.0,946.0,65.8,8558.0,81.0,23.0,9.0,9.66,305.6,74.0,217.0,4.84,22.0,34.0,112.0,7.09,4.28,24.0,0,2019
939.0,1462.0,64.2,11147.0,63.0,30.0,7.6,7.56,237.2,76.0,213.0,4.73,22.0,30.5,116.0,7.2,4.2,24.0,0,2019
545.0,848.0,64.3,7217.0,48.0,13.0,8.5,8.95,195.1,74.0,218.0,4.81,22.0,31.0,110.0,7.28,4.33,23.0,0,2019
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,73.0,224.0,4.62,22.0,33.5,118.0,6.65,4.05,23.0,1,2019
761.0,1168.0,65.2,8266.0,62.0,20.0,7.1,7.37,275.5,73.0,225.0,4.97,22.0,33.5,116.0,7.14,4.45,23.0,2,2019
720.0,1215.0,59.3,9899.0,77.0,25.0,8.1,8.49,210.6,72.0,202.0,4.57,22.0,33.0,115.0,7.09,4.12,24.0,0,2019
650.0,945.0,68.8,8852.0,78.0,11.0,9.4,10.49,227.0,75.0,221.0,4.795,22.0,32.25,112.0,7.09,4.28,23.0,2,2020
474.0,684.0,69.3,7442.0,87.0,11.0,10.9,12.7,225.5,72.0,217.0,4.795,22.0,32.25,112.0,7.09,4.28,22.0,2,2020
827.0,1293.0,64.0,10541.0,95.0,23.0,8.2,8.82,239.6,78.0,236.0,4.68,22.0,35.5,123.0,7.06,4.46,22.0,2,2020
689.0,1125.0,61.2,8600.0,60.0,29.0,7.6,7.55,226.3,76.0,224.0,4.74,22.0,35.5,118.0,7.21,4.52,21.0,2,2020
