rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,star,draft_year
147.0,2224.5,14.9,17.0,57.4,72.0,192.0,4.31,16.0,40.0,131.0,6.93,4.2,25.0,0,2011
285.0,4345.0,15.2,26.0,90.5,73.0,210.0,4.53,15.0,37.0,120.0,6.65,4.1,23.0,0,2011
147.0,2224.5,14.9,17.0,57.4,72.0,205.0,4.5,21.0,34.5,114.0,6.5,4.07,23.0,1,2011
154.0,1854.0,12.0,13.0,59.8,74.0,201.0,4.62,14.0,36.0,122.0,6.93,4.2,21.0,0,2011
183.0,2242.0,12.3,21.0,62.3,70.0,199.0,4.42,19.0,36.0,122.0,6.93,4.2,23.0,0,2011
112.0,2004.0,17.9,18.0,38.5,72.0,194.0,4.43,13.0,36.0,118.0,6.78,4.15,22.0,1,2011
120.0,1299.0,10.8,12.0,26.0,69.0,189.0,4.56,16.0,34.5,120.0,6.93,4.2,22.0,1,2011
103.0,1532.0,14.9,5.0,33.3,73.0,224.0,4.45,24.0,34.5,117.0,6.9,4.14,22.0,0,2011
147.0,2224.5,14.9,17.0,57.4,71.0,191.0,4.49,12.0,36.0,122.0,6.93,4.2,22.0,0,2011
140.0,1884.0,13.5,7.0,39.3,73.0,202.0,4.53,18.0,38.5,123.0,6.67,4.09,22.0,0,2011
268.0,3001.0,11.2,20.0,60.0,70.0,203.0,4.53,10.0,34.0,111.0,6.77,4.21,23.0,0,2011
181.0,3314.0,18.3,30.0,72.0,70.0,184.0,4.35,17.0,40.0,126.0,6.65,4.09,22.0,0,2011
147.0,2224.5,14.9,17.0,57.4,73.0,221.0,4.5,19.0,34.5,117.0,7.04,4.31,21.0,0,2011
146.0,2242.0,15.4,18.0,46.7,74.0,204.0,4.41,14.0,36.0,122.0,6.93,4.2,25.0,0,2011
253.0,3564.0,14.1,40.0,93.8,73.0,207.0,4.46,14.0,36.0,122.0,6.93,4.2,22.0,0,2012
271.0,3686.0,13.6,37.0,85.7,75.0,220.0,4.4,16.0,36.5,122.0,6.93,4.2,22.0,1,2012
302.0,4004.0,13.3,30.0,80.1,70.0,196.0,4.49,15.0,38.5,121.0,6.93,4.18,22.0,1,2012
167.0,2432.0,14.6,19.0,52.9,72.0,190.0,4.37,12.0,38.5,124.0,6.93,4.2,22.0,0,2012
147.0,2224.5,14.9,17.0,57.4,75.0,220.0,4.5,15.0,34.0,119.0,7.1,4.23,23.0,0,2012
49.0,1248.0,25.5,9.0,32.8,76.0,215.0,4.36,14.0,39.5,133.0,6.88,4.48,21.0,0,2012
183.0,3042.0,16.6,23.0,76.1,75.0,216.0,4.48,15.0,36.0,122.0,6.93,4.2,22.0,1,2012
349.0,4586.0,13.1,45.0,95.5,70.0,192.0,4.57,21.0,36.0,122.0,6.93,4.2,24.0,0,2012
97.0,1634.0,16.8,13.0,40.9,75.0,210.0,4.55,15.0,31.0,121.0,6.99,4.36,21.0,1,2012
136.0,1955.0,14.4,18.0,46.5,74.0,211.0,4.39,14.0,36.5,123.0,7.03,4.15,22.0,0,2012
99.0,1453.0,14.7,12.0,31.6,71.0,188.0,4.34,8.0,33.5,120.0,6.77,4.18,23.0,0,2012
210.0,2263.0,10.8,12.0,59.6,73.0,211.0,4.62,19.0,36.0,126.0,6.88,4.22,23.0,1,2012
229.0,3531.0,15.4,24.0,70.6,69.0,183.0,4.34,15.0,36.0,122.0,6.93,4.2,22.0,1,2012
163.0,2473.0,15.2,21.0,68.7,71.0,198.0,4.35,19.0,33.5,118.0,6.97,4.23,22.0,0,2012
131.0,2146.0,16.4,13.0,43.8,70.0,172.0,4.31,14.0,38.0,119.0,6.93,4.2,22.0,0,2012
164.0,2410.0,14.7,17.0,51.3,71.0,179.0,4.51,15.0,36.0,123.0,7.09,4.2,22.0,0,2012
98.0,1327.0,13.5,8.0,30.9,69.0,187.0,4.36,17.0,39.0,123.0,6.93,4.2,24.0,0,2012
168.0,2934.0,17.5,24.0,58.7,70.0,182.0,4.39,11.0,38.0,120.0,6.93,4.03,22.0,1,2012
127.0,1714.0,13.5,10.0,35.7,71.0,188.0,4.42,13.0,39.5,122.0,6.85,4.13,22.0,0,2012
171.0,2447.0,14.3,18.0,52.1,74.0,215.0,4.49,18.0,37.5,122.0,6.93,4.2,23.0,0,2012
156.0,2270.0,14.6,13.0,52.8,74.0,199.0,4.46,22.0,33.0,112.0,6.81,4.11,22.0,1,2012
209.0,2859.0,13.7,32.0,57.2,74.0,224.0,4.66,17.0,38.0,117.0,7.15,4.3,22.0,0,2012
169.0,2850.0,16.9,28.0,73.1,75.0,216.0,4.48,15.0,37.0,122.0,7.15,4.07,23.0,0,2012
187.0,2515.0,13.4,18.0,51.3,71.0,192.0,4.43,11.0,32.5,122.0,6.93,4.2,23.0,0,2012
147.0,2243.0,15.3,13.0,86.3,72.0,217.0,4.54,20.0,36.0,122.0,6.88,4.19,22.0,0,2012
88.0,1638.0,18.6,11.0,34.9,73.0,225.0,4.48,21.0,35.5,124.0,6.59,3.98,23.0,0,2012
306.0,4187.0,13.7,32.0,97.4,72.0,208.0,4.63,14.0,35.0,119.0,6.84,4.13,24.0,0,2012
147.0,2224.5,14.9,17.0,57.4,68.0,174.0,4.34,14.0,32.0,120.0,6.93,4.01,23.0,1,2013
206.0,3020.0,14.7,27.0,77.4,73.0,214.0,4.57,15.0,36.0,115.0,6.93,4.5,21.0,1,2013
46.0,778.0,16.9,5.0,64.8,74.0,216.0,4.42,15.0,37.0,128.0,6.93,4.2,22.0,1,2013
