Sk,Solo,Ast,Comb,TFL,Int,PD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
26.5,85.0,35.0,120.0,39.0,,,75.0,252.0,4.78,19.0,29.0,109.0,7.34,4.47,23.0,0.0,2008
4.0,82.0,39.0,121.0,15.5,,,75.0,317.0,5.06,26.0,33.0,116.0,7.23,4.39,24.0,6.0,2008
12.5,104.0,53.0,157.0,32.5,,,75.0,253.0,4.51,27.0,32.5,117.0,6.9,4.51,22.0,23.0,2008
19.5,135.0,108.0,243.0,35.0,,,74.0,248.0,4.76,24.0,31.0,118.0,7.11,4.29,23.0,10.0,2008
7.5,68.0,28.0,96.0,17.5,,,76.0,264.0,4.75,25.0,32.0,117.0,6.97,4.23,22.0,1.0,2008
10.5,170.0,124.0,294.0,26.0,,,73.0,244.0,4.9,25.0,33.0,116.0,7.23,4.39,22.0,0.0,2008
9.5,58.0,69.0,127.0,17.5,,,76.0,305.0,4.84,31.0,28.0,105.0,7.73,4.55,23.0,1.0,2008
13.5,58.0,45.0,103.0,20.0,,,76.0,274.0,4.91,26.0,29.0,109.0,7.62,4.75,23.0,2.0,2008
9.0,112.0,154.0,266.0,25.0,,,74.0,232.0,4.69,24.0,30.0,110.0,7.23,4.47,23.0,4.0,2008
2.0,21.0,44.0,65.0,8.5,,,76.0,318.0,5.0,20.0,28.0,111.0,7.75,4.64,24.0,26.0,2008
6.5,102.0,89.0,191.0,20.5,,,74.0,242.0,4.67,26.0,34.0,119.0,6.88,4.23,24.0,4.0,2008
1.0,115.0,74.0,189.0,9.0,,,74.0,239.0,4.58,29.0,34.0,126.0,6.7,3.98,23.0,2.0,2008
4.5,97.0,71.0,168.0,19.0,,,70.0,219.0,4.7,22.0,33.0,116.0,7.23,4.39,24.0,1.0,2008
4.0,43.0,56.0,99.0,16.5,,,75.0,301.0,5.09,28.0,25.5,100.0,7.23,4.39,22.0,1.0,2008
7.5,45.0,50.0,95.0,15.0,,,76.0,347.0,5.32,32.0,23.0,104.0,8.07,4.95,22.0,0.0,2008
1.5,29.0,27.0,56.0,10.5,,,75.0,303.0,5.31,26.0,33.0,116.0,7.23,4.39,21.0,13.0,2008
2.0,69.0,34.0,103.0,10.5,,,73.0,238.0,4.86,26.0,29.5,113.0,7.23,4.39,23.0,0.0,2008
12.5,56.0,20.0,76.0,14.5,,,72.0,237.0,4.45,27.0,34.5,116.0,7.23,4.39,22.0,1.0,2008
6.5,171.0,98.0,269.0,15.5,,,74.0,245.0,4.63,28.0,31.5,118.0,6.86,4.26,22.0,9.0,2008
8.0,82.0,57.0,139.0,29.5,,,73.0,226.0,4.64,22.0,26.5,116.0,7.22,4.48,21.0,18.0,2008
10.0,70.0,61.0,131.0,21.5,,,76.0,291.0,5.14,34.0,27.0,108.0,7.55,4.54,22.0,7.0,2008
7.0,179.0,92.0,271.0,28.5,,,74.0,238.0,4.85,27.0,28.5,113.0,7.68,4.55,24.0,4.0,2008
5.5,43.0,26.0,69.0,10.0,,,73.0,235.0,4.76,20.0,31.5,113.0,6.77,4.22,23.0,4.0,2008
7.5,61.0,41.0,102.0,11.0,,,76.0,296.0,5.38,24.0,25.0,99.0,7.62,4.75,23.0,0.0,2008
17.0,52.0,69.0,121.0,26.5,,,76.0,296.0,4.94,24.0,28.5,102.0,7.64,4.8,23.0,23.0,2009
9.5,209.0,122.0,331.0,44.5,,,74.0,254.0,4.52,25.0,37.0,124.0,7.15,4.51,23.0,12.0,2009
12.0,53.0,39.0,92.0,29.0,,,73.0,337.0,5.12,33.0,32.0,103.0,7.9,4.69,23.0,33.0,2009
