Int,PD,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
8.0,14.5,60.0,71.0,213.0,4.5,18.0,39.5,127.0,6.94,4.16,23.0,11.0,2002
9.0,14.5,60.0,72.0,210.0,4.58,28.0,36.0,113.0,6.94,4.16,21.0,15.0,2002
6.0,14.5,60.0,72.0,209.0,4.56,28.0,38.5,120.0,6.62,3.87,23.0,11.0,2002
6.0,14.5,60.0,73.0,211.0,4.43,15.0,35.0,116.0,7.25,4.22,23.0,9.0,2002
12.0,14.5,60.0,69.0,190.0,4.35,16.0,36.0,122.0,6.94,4.16,23.0,0.0,2002
4.0,14.5,60.0,75.0,216.0,4.61,18.0,36.0,130.0,6.93,4.1,21.0,6.0,2002
7.0,14.5,60.0,71.0,201.0,4.62,13.0,31.0,123.0,6.94,4.16,22.0,2.0,2002
3.0,14.5,60.0,74.0,199.0,4.66,16.0,36.5,127.0,6.94,4.16,23.0,9.0,2002
5.0,14.5,60.0,72.0,209.0,4.66,24.0,36.0,112.0,6.94,4.16,24.0,6.0,2002
6.0,14.5,60.0,73.0,220.0,4.55,15.0,35.0,128.0,7.0,4.15,23.0,3.0,2002
5.0,14.5,60.0,73.0,214.0,4.66,18.0,31.5,115.0,6.94,4.16,23.0,32.0,2002
2.0,14.5,60.0,70.0,194.0,4.48,15.0,36.5,119.0,7.1,4.01,23.0,4.0,2002
4.0,14.5,60.0,73.0,196.0,4.58,12.0,35.5,118.0,6.65,3.97,24.0,0.0,2002
5.0,14.5,60.0,70.0,178.0,4.57,3.0,36.5,121.0,6.64,3.92,23.0,14.0,2002
4.0,14.5,60.0,70.0,177.0,4.5,16.0,36.0,122.0,6.94,4.16,22.0,7.0,2002
14.0,14.5,60.0,71.0,180.0,4.64,10.0,35.0,122.0,6.94,4.16,24.0,5.0,2002
6.0,14.5,60.0,72.0,209.0,4.52,18.0,36.0,122.0,6.94,4.16,23.0,3.0,2002
6.0,14.5,60.0,74.0,221.0,4.49,22.0,41.0,122.0,6.81,4.07,23.0,2.0,2002
2.0,14.5,60.0,69.0,207.0,4.58,20.0,36.5,121.0,6.96,4.16,23.0,8.0,2002
4.0,14.5,60.0,72.0,210.0,4.63,23.0,38.5,121.0,6.94,4.16,22.0,2.0,2002
10.0,14.5,60.0,73.0,193.0,4.62,16.0,30.5,110.0,7.0,4.22,23.0,0.0,2002
