draft_year,pick,round,pos,G,age,avg_team_sp,qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,Sk,Solo,Ast,Comb,TFL,Int,PD
2018,66,3,LB,54.0,22.0,18.0,,,,,,,,,,,,,,,,,,,,,,,14.0,82.0,83.0,165.0,20.5,,
2010,121,4,DB,54.0,23.0,27.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
2010,2,1,DL,54.0,23.0,18.147058823529413,,,,,,,,,,,,,,,,,,,,,,,24.0,125.0,90.0,215.0,49.5,,
2018,214,6,LB,54.0,23.0,17.27777777777778,,,,,,,,,,,,,,,,,,,,,,,18.5,111.0,79.0,190.0,28.0,,
2019,168,5,LB,54.0,22.0,23.485294117647054,,,,,,,,,,,,,,,,,,,,,,,13.5,65.0,48.0,113.0,27.5,,
2017,132,4,RB,54.0,22.0,4.684090909090909,,,,,,,,,,1059.0,6405.0,6.0,62.0,100.0,1041.0,10.4,5.0,,,,,,,,,,,,
2018,27,1,RB,54.0,22.0,6.875,,,,,,,,,,488.0,3656.0,7.5,38.0,42.0,479.0,11.4,6.0,,,,,,,,,,,,
2019,134,4,DL,54.0,23.0,22.385714285714283,,,,,,,,,,,,,,,,,,,,,,,8.5,74.0,74.0,148.0,20.5,,
2017,19,1,TE,54.0,22.0,32.465625,,,,,,,,,,,,,,,,,,114.0,1726.0,15.1,7.0,32.0,,,,,,,
2010,230,7,DL,54.0,23.0,2.3851851851851853,,,,,,,,,,,,,,,,,,,,,,,27.0,92.0,100.0,192.0,45.5,,
2012,120,4,LB,54.0,23.0,0.0499999999999999,,,,,,,,,,,,,,,,,,,,,,,7.5,169.0,126.0,295.0,37.5,,
2021,181,5,WR,54.0,23.0,27.46935483870968,,,,,,,,,,,,,,,,,,93.0,1211.0,13.0,10.0,22.4,,,,,,,
2021,249,7,WR,54.0,24.0,8.7390625,,,,,,,,,,,,,,,,,,139.0,1856.0,13.4,13.0,34.4,,,,,,,
2011,200,6,LB,54.0,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,5.0,155.0,132.0,287.0,17.0,,
2015,37,2,WR,54.0,23.0,15.99506172839506,,,,,,,,,,,,,,,,,,121.0,2503.0,20.7,30.0,46.4,,,,,,,
2014,77,3,LB,54.0,23.0,19.772972972972973,,,,,,,,,,,,,,,,,,,,,,,17.0,233.0,187.0,420.0,50.0,,
2006,166,5,TE,54.0,24.0,,,,,,,,,,,,,,,,,,,44.0,563.0,12.8,5.0,10.4,,,,,,,
2013,211,7,TE,54.0,22.0,21.32698412698413,,,,,,,,,,,,,,,,,,51.0,503.0,9.9,7.0,9.3,,,,,,,
2011,247,7,DL,54.0,23.0,22.3,,,,,,,,,,,,,,,,,,,,,,,29.0,139.0,85.0,224.0,58.5,,
2011,211,7,LB,53.0,24.0,-5.933333333333334,,,,,,,,,,,,,,,,,,,,,,,35.5,124.0,90.0,214.0,57.5,,
